movieId,title,genres,Year
1,Toy Story,Adventure,1995
2,Jumanji,Adventure,1995
3,Grumpier Old Men,Comedy,1995
4,Waiting to Exhale,Comedy,1995
5,Father of the Bride Part II,Comedy,1995
6,Heat,Action,1995
7,Sabrina,Comedy,1995
8,Tom and Huck,Adventure,1995
9,Sudden Death,Action,1995
10,GoldenEye,Action,1995
11,"American President, The",Comedy,1995
12,Dracula: Dead and Loving It,Comedy,1995
13,Balto,Adventure,1995
14,Nixon,Drama,1995
15,Cutthroat Island,Action,1995
16,Casino,Crime,1995
17,Sense and Sensibility,Drama,1995
18,Four Rooms,Comedy,1995
19,Ace Ventura: When Nature Calls,Comedy,1995
20,Money Train,Action,1995
21,Get Shorty,Comedy,1995
22,Copycat,Crime,1995
23,Assassins,Action,1995
24,Powder,Drama,1995
25,Leaving Las Vegas,Drama,1995
26,Othello,Drama,1995
27,Now and Then,Children,1995
28,Persuasion,Drama,1995
29,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure,1995
30,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime,1995
31,Dangerous Minds,Drama,1995
32,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery,1995
33,Wings of Courage,Adventure,1995
34,Babe,Children,1995
35,Carrington,Drama,1995
36,Dead Man Walking,Crime,1995
37,Across the Sea of Time,Documentary,1995
38,It Takes Two,Children,1995
39,Clueless,Comedy,1995
40,"Cry, the Beloved Country",Drama,1995
41,Richard III,Drama,1995
42,Dead Presidents,Action,1995
43,Restoration,Drama,1995
44,Mortal Kombat,Action,1995
45,To Die For,Comedy,1995
46,How to Make an American Quilt,Drama,1995
47,Seven (a.k.a. Se7en),Mystery,1995
48,Pocahontas,Animation,1995
49,When Night Is Falling,Drama,1995
50,"Usual Suspects, The",Crime,1995
51,Guardian Angel,Action,1994
52,Mighty Aphrodite,Comedy,1995
53,Lamerica,Adventure,1994
54,"Big Green, The",Children,1995
55,Georgia,Drama,1995
56,Kids of the Round Table,Adventure,1995
57,Home for the Holidays,Drama,1995
58,"Postman, The (Postino, Il)",Comedy,1994
59,"Confessional, The (Confessionnal, Le)",Drama,1995
60,"Indian in the Cupboard, The",Adventure,1995
61,Eye for an Eye,Drama,1996
62,Mr. Holland's Opus,Drama,1995
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,1996
64,Two if by Sea,Comedy,1996
65,Bio-Dome,Comedy,1996
66,Lawnmower Man 2: Beyond Cyberspace,Action,1996
67,Two Bits,Drama,1995
68,French Twist (Gazon maudit),Comedy,1995
69,Friday,Comedy,1995
70,From Dusk Till Dawn,Action,1996
71,Fair Game,Action,1995
72,Kicking and Screaming,Comedy,1995
73,"Misérables, Les",Drama,1995
74,Bed of Roses,Drama,1996
75,Big Bully,Comedy,1996
76,Screamers,Action,1995
77,Nico Icon,Documentary,1995
78,"Crossing Guard, The",Action,1995
79,"Juror, The",Drama,1996
80,"White Balloon, The (Badkonake sefid)",Children,1995
81,Things to Do in Denver When You're Dead,Crime,1995
82,Antonia's Line (Antonia),Comedy,1995
83,Once Upon a Time... When We Were Colored,Drama,1995
84,Last Summer in the Hamptons,Comedy,1995
85,Angels and Insects,Drama,1995
86,White Squall,Action,1996
87,Dunston Checks In,Children,1996
88,Black Sheep,Comedy,1996
89,Nick of Time,Action,1995
90,The Journey of August King,Drama,1995
92,Mary Reilly,Drama,1996
93,Vampire in Brooklyn,Comedy,1995
94,Beautiful Girls,Comedy,1996
95,Broken Arrow,Action,1996
96,In the Bleak Midwinter,Comedy,1995
97,"Hate (Haine, La)",Crime,1995
98,Shopping,Action,1994
99,Heidi Fleiss: Hollywood Madam,Documentary,1995
100,City Hall,Drama,1996
101,Bottle Rocket,Adventure,1996
102,Mr. Wrong,Comedy,1996
103,Unforgettable,Mystery,1996
104,Happy Gilmore,Comedy,1996
105,"Bridges of Madison County, The",Drama,1995
106,Nobody Loves Me (Keiner liebt mich),Comedy,1994
107,Muppet Treasure Island,Adventure,1996
108,Catwalk,Documentary,1996
109,Headless Body in Topless Bar,Comedy,1995
110,Braveheart,Action,1995
111,Taxi Driver,Crime,1976
112,Rumble in the Bronx (Hont faan kui),Action,1995
113,Before and After,Drama,1996
114,Margaret's Museum,Drama,1995
115,"Happiness Is in the Field (Bonheur est dans le pré, Le)",Comedy,1995
116,Anne Frank Remembered,Documentary,1995
117,"Young Poisoner's Handbook, The",Crime,1995
118,If Lucy Fell,Comedy,1996
119,"Steal Big, Steal Little",Comedy,1995
120,Race the Sun,Adventure,1996
121,"Boys of St. Vincent, The",Drama,1992
122,Boomerang,Comedy,1992
123,Chungking Express (Chung Hing sam lam),Drama,1994
124,"Star Maker, The (Uomo delle stelle, L')",Drama,1995
125,Flirting With Disaster,Comedy,1996
126,"NeverEnding Story III, The",Adventure,1994
127,"Silences of the Palace, The (Saimt el Qusur)",Drama,1994
128,Jupiter's Wife,Documentary,1994
129,Pie in the Sky,Comedy,1996
130,Angela,Drama,1995
131,Frankie Starlight,Drama,1995
132,Jade,Thriller,1995
133,Nueba Yol,Comedy,1995
134,Sonic Outlaws,Documentary,1995
135,Down Periscope,Comedy,1996
136,From the Journals of Jean Seberg,Documentary,1995
137,Man of the Year,Documentary,1995
138,"Neon Bible, The",Drama,1995
139,Target,Action,1995
140,Up Close and Personal,Drama,1996
141,"Birdcage, The",Comedy,1996
142,Shadows (Cienie),Drama,1988
143,Gospa,Drama,1995
144,"Brothers McMullen, The",Comedy,1995
145,Bad Boys,Action,1995
146,"Amazing Panda Adventure, The",Adventure,1995
147,"Basketball Diaries, The",Drama,1995
148,"Awfully Big Adventure, An",Drama,1995
149,Amateur,Crime,1994
150,Apollo 13,Adventure,1995
151,Rob Roy,Action,1995
152,"Addiction, The",Drama,1995
153,Batman Forever,Action,1995
154,Beauty of the Day (Belle de jour),Drama,1967
155,Beyond Rangoon,Adventure,1995
156,Blue in the Face,Comedy,1995
157,Canadian Bacon,Comedy,1995
158,Casper,Adventure,1995
